"#filename","previous_sentence","following_sentence","comment_if_any","pause_content","pause_length_ms","postP23visual","postP23quality","postP23audio"
"cropped_2010-12-30_090-15_090-75.mp4","ihre Mitarbeiter. Sie meistern ihren Alltag, wie schwer er oft auch sein mag. So haben wir gemeinsam enormes geleistet.","Wir alle haben erfahren, was möglich ist. Das ist wichtig, denn wir Deutschen sind uns unserer Stärken selbst","","m","60","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_093-03_093-93.mp4","wie schwer er oft auch sein mag. So haben wir gemeinsam enormes geleistet. Wir alle haben erfahren, was möglich ist.","Das ist wichtig, denn wir Deutschen sind uns unserer Stärken selbst nicht immer bewusst. Unsere","","m","90","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_099-45_100-32.mp4","Wir alle haben erfahren, was möglich ist. Das ist wichtig, denn wir Deutschen sind uns unserer Stärken selbst nicht immer bewusst.","Unsere Fußball-Nationalmannschaft hat in Südafrika ganz wunderbar genau die Tugenden gezeigt, die uns","","m","87","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_112-74_113-52.mp4","ganz wunderbar genau die Tugenden gezeigt, die uns eigentlich alles stark machen. Fleiß und Disziplin, Ideenreichtum und Technik auf höchstem Niveau.","Nur ein Wort noch zum Fußball. Wenn nächstes Jahr die Frauen-WM in Deutschland stattfindet, dann will unsere","","m","78","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_130-35_131-58.mp4","zum dritten Mal den Titel holen. Mit unserer Unterstützung kann sie es wirklich schaffen. Ich jedenfalls freue mich schon auf das Eröffnungsspiel in Berlin.","Aber bei aller Zuversicht, unsere Stärken werden wir auch in Zukunft immer wieder beweisen müssen. Und zwar","","m","123","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_140-76_142-38.mp4","Aber bei aller Zuversicht, unsere Stärken werden wir auch in Zukunft immer wieder beweisen müssen. Und zwar nicht nur im Fußball.","Europa steht in diesen Monaten inmitten einer großen Bewährungsprobe. Wir müssen den Euro","","m","162","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_147-09_147-63.mp4","und zwar nicht nur im Fußball. Europa steht in diesen Monaten inmitten einer großen Bewährungsprobe.","Wir müssen den Euro stärken. Dabei geht es nicht allein um unser Geld. Der Euro ist ja weit mehr als eine","","m","54","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_156-06_156-57.mp4","Wir müssen den Euro stärken. Dabei geht es nicht allein um unser Geld. Der Euro ist ja weit mehr als eine Währung.","Wir Europäer, wir sind zu unserem Glück vereint. Das vereinte Europa ist der Garant für unseren Frieden und","","m","51","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_167-07_167-58.mp4","Wir sind zu unserem Glück vereint. Das vereinte Europa ist der Garant für unseren Frieden und unsere Freiheit.","Der Euro ist die Grundlage unseres Wohlstands. Deutschland braucht Europa und unsere gemeinsame Währung. Für","","m","51","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_170-58_171-24.mp4","Das vereinte Europa ist der Garant für unseren Frieden und unsere Freiheit. Der Euro ist die Grundlage unseres Wohlstands.","Deutschland braucht Europa und unsere gemeinsame Währung. Für unser eigenes Wohlergehen wie auch um weltweit","","m","66","Merkel","Perfectly clear","Merkel"
